,report_date,case_status,number_of_cases,number_of_hospitalizations,number_of_deaths
0,2020-08-09T00:00:00.000,Confirmed,96167,8319,2214
1,2020-08-09T00:00:00.000,Probable,3919,50,112
2,2020-08-08T00:00:00.000,Confirmed,95326,8282,2211
3,2020-08-08T00:00:00.000,Probable,3863,50,111
4,2020-08-07T00:00:00.000,Confirmed,94141,8231,2208
5,2020-08-07T00:00:00.000,Probable,3741,50,109
6,2020-08-06T00:00:00.000,Confirmed,92244,8135,2191
7,2020-08-06T00:00:00.000,Probable,3623,48,108
8,2020-08-05T00:00:00.000,Confirmed,91473,8077,2164
9,2020-08-05T00:00:00.000,Probable,3576,49,110
10,2020-08-04T00:00:00.000,Confirmed,90728,8037,2134
11,2020-08-04T00:00:00.000,Probable,3523,48,110
12,2020-08-03T00:00:00.000,Confirmed,89602,7970,2108
13,2020-08-03T00:00:00.000,Probable,3504,48,110
14,2020-08-02T00:00:00.000,Confirmed,88324,7907,2108
15,2020-08-02T00:00:00.000,Probable,3458,48,110
16,2020-08-01T00:00:00.000,Confirmed,87367,7862,2105
17,2020-08-01T00:00:00.000,Probable,3434,48,110
18,2020-07-31T00:00:00.000,Confirmed,86501,7820,2067
19,2020-07-31T00:00:00.000,Probable,3387,46,107
20,2020-07-30T00:00:00.000,Confirmed,85546,7740,2035
21,2020-07-30T00:00:00.000,Probable,3358,46,106
22,2020-07-29T00:00:00.000,Confirmed,84700,7692,2020
23,2020-07-29T00:00:00.000,Probable,3293,46,105
24,2020-07-28T00:00:00.000,Confirmed,83732,7640,1991
25,2020-07-28T00:00:00.000,Probable,3262,46,104
26,2020-07-27T00:00:00.000,Confirmed,82871,7600,1978
27,2020-07-27T00:00:00.000,Probable,3201,47,104
28,2020-07-26T00:00:00.000,Confirmed,81393,7546,1975
29,2020-07-26T00:00:00.000,Probable,3174,47,103
30,2020-07-25T00:00:00.000,Confirmed,80480,7524,1972
31,2020-07-25T00:00:00.000,Probable,3129,46,103
32,2020-07-24T00:00:00.000,Confirmed,79253,7472,1964
33,2020-07-24T00:00:00.000,Probable,3111,43,103
34,2020-07-23T00:00:00.000,Confirmed,78182,7394,1951
35,2020-07-23T00:00:00.000,Probable,3055,43,103
36,2020-07-22T00:00:00.000,Confirmed,77380,7307,1948
37,2020-07-22T00:00:00.000,Probable,3013,44,103
38,2020-07-21T00:00:00.000,Confirmed,76427,7223,1945
39,2020-07-21T00:00:00.000,Probable,2944,44,103
40,2020-07-20T00:00:00.000,Confirmed,75415,7157,1927
41,2020-07-20T00:00:00.000,Probable,2960,44,104
42,2020-07-19T00:00:00.000,Confirmed,74490,7121,1923
43,2020-07-19T00:00:00.000,Probable,2940,44,104
44,2020-07-18T00:00:00.000,Confirmed,73420,7102,1921
45,2020-07-18T00:00:00.000,Probable,2953,45,104
46,2020-07-17T00:00:00.000,Confirmed,72516,7040,1909
47,2020-07-17T00:00:00.000,Probable,2917,47,104
48,2020-07-16T00:00:00.000,Confirmed,71570,6975,1903
49,2020-07-16T00:00:00.000,Probable,2861,45,104
50,2020-07-15T00:00:00.000,Confirmed,70669,6859,1882
51,2020-07-15T00:00:00.000,Probable,2858,46,110
52,2020-07-14T00:00:00.000,Confirmed,69610,6771,1870
53,2020-07-14T00:00:00.000,Probable,2833,46,107
54,2020-07-13T00:00:00.000,Confirmed,68814,6720,1861
55,2020-07-13T00:00:00.000,Probable,2828,45,107
56,2020-07-12T00:00:00.000,Confirmed,67830,6699,1859
57,2020-07-12T00:00:00.000,Probable,2840,45,107
58,2020-07-11T00:00:00.000,Confirmed,66963,6663,1857
59,2020-07-11T00:00:00.000,Probable,2819,44,105
60,2020-07-10T00:00:00.000,Confirmed,66095,6632,1853
61,2020-07-10T00:00:00.000,Probable,2836,43,105
62,2020-07-09T00:00:00.000,Confirmed,65191,6582,1832
63,2020-07-09T00:00:00.000,Probable,2797,43,105
64,2020-07-08T00:00:00.000,Confirmed,64583,6534,1799
65,2020-07-08T00:00:00.000,Probable,2792,43,106
66,2020-07-07T00:00:00.000,Confirmed,63950,6470,1775
67,2020-07-07T00:00:00.000,Probable,2790,42,106
68,2020-07-06T00:00:00.000,Confirmed,63339,6394,1747
69,2020-07-06T00:00:00.000,Probable,2763,41,106
70,2020-07-05T00:00:00.000,Confirmed,62981,6377,1746
71,2020-07-05T00:00:00.000,Probable,2767,41,107
72,2020-07-04T00:00:00.000,Confirmed,62400,6370,1745
73,2020-07-04T00:00:00.000,Probable,2709,35,104
74,2020-07-03T00:00:00.000,Confirmed,61690,6348,1741
75,2020-07-03T00:00:00.000,Probable,2703,34,104
76,2020-07-02T00:00:00.000,Confirmed,61039,6298,1712
77,2020-07-02T00:00:00.000,Probable,2696,35,104
78,2020-07-01T00:00:00.000,Confirmed,60528,6228,1681
79,2020-07-01T00:00:00.000,Probable,2675,34,105
80,2020-06-30T00:00:00.000,Confirmed,60124,6169,1658
81,2020-06-30T00:00:00.000,Probable,2663,34,105
82,2020-06-29T00:00:00.000,Confirmed,59522,6128,1635
83,2020-06-29T00:00:00.000,Probable,2667,36,105
84,2020-06-28T00:00:00.000,Confirmed,59071,6100,1628
85,2020-06-28T00:00:00.000,Probable,2665,36,104
86,2020-06-27T00:00:00.000,Confirmed,58611,6084,1620
87,2020-06-27T00:00:00.000,Probable,2636,36,104
88,2020-06-26T00:00:00.000,Confirmed,57977,6035,1596
89,2020-06-26T00:00:00.000,Probable,2593,36,104
90,2020-06-25T00:00:00.000,Confirmed,57384,5961,1572
91,2020-06-25T00:00:00.000,Probable,2562,34,103
92,2020-06-24T00:00:00.000,Confirmed,56956,5922,1559
93,2020-06-24T00:00:00.000,Probable,2558,33,102
94,2020-06-23T00:00:00.000,Confirmed,56452,5881,1542
95,2020-06-23T00:00:00.000,Probable,2542,32,103
96,2020-06-22T00:00:00.000,Confirmed,55949,5837,1517
97,2020-06-22T00:00:00.000,Probable,2516,32,103
98,2020-06-21T00:00:00.000,Confirmed,55504,5808,1508
99,2020-06-21T00:00:00.000,Probable,2490,32,103
100,2020-06-20T00:00:00.000,Confirmed,54953,5775,1504
101,2020-06-20T00:00:00.000,Probable,2490,32,103
102,2020-06-19T00:00:00.000,Confirmed,54312,5765,1499
103,2020-06-19T00:00:00.000,Probable,2481,32,103
104,2020-06-18T00:00:00.000,Confirmed,53769,5713,1482
105,2020-06-18T00:00:00.000,Probable,2469,31,104
106,2020-06-17T00:00:00.000,Confirmed,53318,5661,1478
107,2020-06-17T00:00:00.000,Probable,2457,31,105
108,2020-06-16T00:00:00.000,Confirmed,52917,5614,1465
109,2020-06-16T00:00:00.000,Probable,2414,29,105
110,2020-06-15T00:00:00.000,Confirmed,52460,5557,1444
111,2020-06-15T00:00:00.000,Probable,2426,31,108
112,2020-06-14T00:00:00.000,Confirmed,52103,5506,1438
113,2020-06-14T00:00:00.000,Probable,2403,30,108
114,2020-06-13T00:00:00.000,Confirmed,51499,5482,1435
115,2020-06-13T00:00:00.000,Probable,2370,29,106
116,2020-06-12T00:00:00.000,Confirmed,50853,5417,1426
117,2020-06-12T00:00:00.000,Probable,2358,28,108
118,2020-06-11T00:00:00.000,Confirmed,50275,5331,1413
119,2020-06-11T00:00:00.000,Probable,2372,29,107
120,2020-06-10T00:00:00.000,Confirmed,49785,5240,1408
121,2020-06-10T00:00:00.000,Probable,2392,32,106
122,2020-06-09T00:00:00.000,Confirmed,49362,5172,1391
123,2020-06-09T00:00:00.000,Probable,2376,31,105
124,2020-06-08T00:00:00.000,Confirmed,48879,5112,1373
125,2020-06-08T00:00:00.000,Probable,2372,31,104
126,2020-06-07T00:00:00.000,Confirmed,48349,5075,1369
127,2020-06-07T00:00:00.000,Probable,2332,31,103
128,2020-06-06T00:00:00.000,Confirmed,47123,5024,1357
129,2020-06-06T00:00:00.000,Probable,2274,30,103
130,2020-06-05T00:00:00.000,Confirmed,46281,4978,1350
131,2020-06-05T00:00:00.000,Probable,2251,30,103
132,2020-06-04T00:00:00.000,Confirmed,45620,4925,1338
133,2020-06-04T00:00:00.000,Probable,2236,32,107
134,2020-06-03T00:00:00.000,Confirmed,44715,4852,1322
135,2020-06-03T00:00:00.000,Probable,2190,32,106
136,2020-06-02T00:00:00.000,Confirmed,44069,4738,1300
137,2020-06-02T00:00:00.000,Probable,2170,32,107
138,2020-06-01T00:00:00.000,Confirmed,43247,4660,1282
139,2020-06-01T00:00:00.000,Probable,2151,34,110
140,2020-05-31T00:00:00.000,Confirmed,42499,4611,1274
141,2020-05-31T00:00:00.000,Probable,2108,32,101
